reference,statut,licence,credit,raison,artistes,musee,ville,titre,presence_image,artiste_sous_droits,image,notice_pop,http,verifie_le
05120001189,unknown,,Mangin,crédit sans licence explicite,Federico Barocci,musée des Beaux-Arts,Nancy,L'Annonciation,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05120001189/0002701.jpg,https://pop.culture.gouv.fr/notice/joconde/05120001189,200,2026-07-29
05120002092,unknown,,Maertens,crédit sans licence explicite,Luca Giordano,musée des Beaux-Arts,Nancy,Conversion de saint Paul ; Saint Paul terrassé sur le chemin de Damas,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05120002092/0000040.jpg,https://pop.culture.gouv.fr/notice/joconde/05120002092,200,2026-07-29
05120002906,unknown,,© Philippot,crédit sans licence explicite,Nicolas Poussin,musée des Beaux-Arts,Nancy,Etudes de casques antiques,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05120002906/0009975.jpg,https://pop.culture.gouv.fr/notice/joconde/05120002906,200,2026-07-29
05120007536,unknown,,© Phillipot ; Cliché M. Bourguet,crédit sans licence explicite,Corneille de Lyon,musée des Beaux-Arts,Nancy,Portrait d'homme à la barbe grisonnante,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05120007536/0009984.jpg,https://pop.culture.gouv.fr/notice/joconde/05120007536,200,2026-07-29
05620000350,unknown,,Bernard Delorme,crédit sans licence explicite,Antonio Tempesta,musée des Augustins,Toulouse,Combat de cavalerie,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620000350/0003945a.jpg,https://pop.culture.gouv.fr/notice/joconde/05620000350,200,2026-07-29
05620000355,unknown,,Bernard Delorme,crédit sans licence explicite,Titien,musée des Augustins,Toulouse,Sainte Famille,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620000355/0003884a.jpg,https://pop.culture.gouv.fr/notice/joconde/05620000355,200,2026-07-29
05620000673,unknown,,Daniel Martin,crédit sans licence explicite,François Gérard,musée des Augustins,Toulouse,"Portrait de Jules de Résséguier, en uniforme",oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620000673/0004355.jpg,https://pop.culture.gouv.fr/notice/joconde/05620000673,200,2026-07-29
05620001257,unknown,,Daniel Martin,crédit sans licence explicite,Van Dyck,musée des Augustins,Toulouse,Le Christ aux anges,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620001257/0004109a.jpg,https://pop.culture.gouv.fr/notice/joconde/05620001257,200,2026-07-29
05620001258,unknown,,Daniel Martin,crédit sans licence explicite,Van Dyck,musée des Augustins,Toulouse,Le miracle de la mule (Légende de saint Antoine de Padoue),oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620001258/0004155.jpg,https://pop.culture.gouv.fr/notice/joconde/05620001258,200,2026-07-29
05620001274,unknown,,Photo Bernard Delorme,crédit sans licence explicite,Nicolas de Largillière,musée des Augustins,Toulouse,"Thomyris reine des Massagètes ; Thomyris, reine des Massagetes fait plonger la tête de Cyrus dans un vase rempli de sang",oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620001274/0005136.jpg,https://pop.culture.gouv.fr/notice/joconde/05620001274,200,2026-07-29
05620001275,unknown,,DELORME,crédit sans licence explicite,Rubens,musée des Augustins,Toulouse,"La Vierge, l'enfant Jésus et saint Jean",oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620001275/0004255.jpg,https://pop.culture.gouv.fr/notice/joconde/05620001275,200,2026-07-29
05620001288,unknown,,,crédit photographique absent,Paul Bril,musée des Augustins,Toulouse,Paysage,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620001288/0005139.jpg,https://pop.culture.gouv.fr/notice/joconde/05620001288,200,2026-07-29
05620001443,unknown,,Bernard Delorme,crédit sans licence explicite,Annibale Carracci,musée des Augustins,Toulouse,Apollon,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05620001443/0003941.jpg,https://pop.culture.gouv.fr/notice/joconde/05620001443,200,2026-07-29
