famille,categorie,champ_source,extrait,auteur,precisions_auteur,ancienne_attribution,titre,denomination,domaine,musee,ville,verdict,commentaire,reference,lien_pop
attribué à,doute,Auteur,"PRIMATICCIO Francesco (attribué à);LE PRIMATICE (dit, attribué à)","PRIMATICCIO Francesco (attribué à);LE PRIMATICE (dit, attribué à)",né en 1504 ; mort en 1570,ancienne attribution : INCONNU,"Une figure drapée regardant vers la gauche, les bras croisés sur la poitrine",,dessin,musée du Louvre,Paris,vrai,,50350005693,https://pop.culture.gouv.fr/notice/joconde/50350005693
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Orchis à longues bractées ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500006996,https://pop.culture.gouv.fr/notice/joconde/70500006996
attribué à,doute,Auteur,ROSSET François Marie (attribué à),ROSSET François Marie (attribué à),"Saint-Claude, 1743 ; Dole, 1824",,Portrait du sculpteur Claude-François Attiret,tableau,peinture,musée des beaux-arts et d'archéologie,Dole,vrai,,M0347001705,https://pop.culture.gouv.fr/notice/joconde/M0347001705
attribué à,doute,Auteur,"MASSARD Léopold;DUMONSTIER Daniel (attribué, d'après)","MASSARD Léopold;DUMONSTIER Daniel (attribué, d'après)","MASSARD : ?, 1812 ; ?, 1889 ; nationalité : Française ; DUMONSTIER : Paris, 1574 ; Paris, 1646",,Portraits au crayon d'après les tableaux du musée de Versailles ; Jean d'Harambure dit le Borgne (mort en 1630),"album (25, élément)",dessin,musée Condé,Chantilly,faux,"c'est une copie d'après un modèle, pas un doute sur l'auteur",50520009981,https://pop.culture.gouv.fr/notice/joconde/50520009981
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Centaurée de Nice ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500005619,https://pop.culture.gouv.fr/notice/joconde/70500005619
attribué à,doute,Auteur,Barla Jean-Baptiste (1817-1896) (attribué à),Barla Jean-Baptiste (1817-1896) (attribué à),"Nice, 1817 ; Nice, 1896",,Joubarbe aranéeuse ; Joubarbe-araignée ; Joubarbe à toiles d'araignée ; plante à fleurs,,sciences naturelles;dessin;botanique,muséum d'histoire naturelle,Nice,vrai,,70500005256,https://pop.culture.gouv.fr/notice/joconde/70500005256
? (point d'interrogation),doute,Auteur,Der Balian Sarkis (?-1996),Der Balian Sarkis (?-1996),"Arménie, ? ; Paris, 1996/03/29 ; Arménien d'origine, Sarkis Der Balian, né au début du XXe siècle à Aïtab Cilicie de la petite Arménie, manifeste très tôt son intérêt pour la chaussure. Orphelin à l'âge de sept ans, il est accueilli par un bottier de sa région, sans enfant, qui voit en lui le fils tellement espéré. Petit à petit il le forme au métier tout en lui permettant d'aller à l'école. Il arrive en France le 7 mars 1929 pour exercer son art dans différents ateliers de bottiers parisiens. Vers 1934, il est engagé chez Enzel, bottier rue Saint Honoré, où il dirige une équipe de quarante ouvriers. Le célèbre Charles Ritz administre la maison et admire son travail. Pendant cette période il chausse Marie Curie, l'aviatrice Hélène Boucher, Mistinguett ... Ce sont pour lui de belles années de créations au sein de l'entreprise, complétées par une activité indépendante de modéliste qui lui permet de s'affirmer de manière plus personnelle. Il crée alors des modèles pour Max Bally, les usines Unic-Fenestrier à Romans, celles de Fougères et pour la maison Besson, petite fabrique parisienne de chaussures pour femme. Il assure aussi la mise au point technique de certains modèles réalisés pour les grands couturiers. En 1935, il fait le tour de l'Italie dont il retient la leçon du beau poussé jusqu'à la perfection. Les évènements de 1936 entraînent la fermeture de la maison Enzel. Son parcours le conduit alors à l'angle de la rue Rivoli et de la rue du Renard chez ' Cécile ', maison spécialisée dans la chaussure d'homme, de femme et d'enfant. Il y occupe la fonction de Directeur Technique. Il décline l'invitation de Delman qui lui propose, en 1939, de fabriquer des chaussures aux Etats-Unis. Cet homme attaché à sa patrie d'adoption, la France, s'installe rue de la Sourdière à Paris de 1943 à 1945. Le succès le pousse à déménager en 1947 dans un plus vaste magasin au 221 rue Saint Honoré. Il chausse au cours de sa longue carrière des personnalités aussi diverses que les peintres Salvator Dali, ou Dunoyer de Segonzac, le sculpteur Paul Belmondo, les acteurs Claude Dauphin, Gaby Morlet, Greta Garbo, Laurent Terzieff, le boxeur Georges Carpentier, des artistes comme Henri Salvador, Yehudi Menhin, les écrivains Jean Anouilh, Aragon et Elsa Triolet, l'aviateur Jean Mermoz... Universellement connu, depuis 1930 il reçoit de nombreux prix et les plus hautes récompenses dans toutes les expositions nationales et internationales. Meilleur ouvrier de France en 1958, son mandat de conseiller technique de l'enseignement technique lui est renouvelé cinq fois par le Ministère de l'Education Nationale. Aidé par son épouse et sa fille Astrid, il maintient son activité jusqu'en 1995 et s'éteint le 29 mars 1996. Cependant ce virtuose de la botterie, épris d'absolu, nous interpelle encore, par la contemplation de son uvre conservée et visible, au Musée International de la Chaussure à Romans",,,sandale,costume - accessoires du costume,musée de la chaussure,Romans,faux,"Le ? porte sur une date de naissance, pas sur l’auteur.",09860003308,https://pop.culture.gouv.fr/notice/joconde/09860003308
? (point d'interrogation),doute,Auteur,GEORGET Jean (?);manufacture de Sèvres,GEORGET Jean (?);manufacture de Sèvres,GEORGET : peintre à Sèvres entre 1801-1823 ; manufacture de Sèvres : fondée en 1756,,Elément décoratif,,dessin;arts décoratifs,musée national de la céramique,Sèvres,vrai,,50190041877,https://pop.culture.gouv.fr/notice/joconde/50190041877
? (point d'interrogation),doute,Auteur,GILLET Louis (?),GILLET Louis (?),"?, 1876 ; ?, 1943",,Quatre figures de danse d'après les dessins de Rodin D. 2970-1770-1787-1849,élément d'ensemble,dessin,musée Rodin,Paris,vrai,,50440000803,https://pop.culture.gouv.fr/notice/joconde/50440000803
? (point d'interrogation),doute,Auteur,Der Balian Sarkis (?-1996),Der Balian Sarkis (?-1996),"Arménie, ? ; Paris, 1996/03/29 ; Arménien d'origine, Sarkis Der Balian, né au début du XXe siècle à Aïtab Cilicie de la petite Arménie, manifeste très tôt son intérêt pour la chaussure. Orphelin à l'âge de sept ans, il est accueilli par un bottier de sa région, sans enfant, qui voit en lui le fils tellement espéré. Petit à petit il le forme au métier tout en lui permettant d'aller à l'école. Il arrive en France le 7 mars 1929 pour exercer son art dans différents ateliers de bottiers parisiens. Vers 1934, il est engagé chez Enzel, bottier rue Saint Honoré, où il dirige une équipe de quarante ouvriers. Le célèbre Charles Ritz administre la maison et admire son travail. Pendant cette période il chausse Marie Curie, l'aviatrice Hélène Boucher, Mistinguett ... Ce sont pour lui de belles années de créations au sein de l'entreprise, complétées par une activité indépendante de modéliste qui lui permet de s'affirmer de manière plus personnelle. Il crée alors des modèles pour Max Bally, les usines Unic-Fenestrier à Romans, celles de Fougères et pour la maison Besson, petite fabrique parisienne de chaussures pour femme. Il assure aussi la mise au point technique de certains modèles réalisés pour les grands couturiers. En 1935, il fait le tour de l'Italie dont il retient la leçon du beau poussé jusqu'à la perfection. Les évènements de 1936 entraînent la fermeture de la maison Enzel. Son parcours le conduit alors à l'angle de la rue Rivoli et de la rue du Renard chez ' Cécile ', maison spécialisée dans la chaussure d'homme, de femme et d'enfant. Il y occupe la fonction de Directeur Technique. Il décline l'invitation de Delman qui lui propose, en 1939, de fabriquer des chaussures aux Etats-Unis. Cet homme attaché à sa patrie d'adoption, la France, s'installe rue de la Sourdière à Paris de 1943 à 1945. Le succès le pousse à déménager en 1947 dans un plus vaste magasin au 221 rue Saint Honoré. Il chausse au cours de sa longue carrière des personnalités aussi diverses que les peintres Salvator Dali, ou Dunoyer de Segonzac, le sculpteur Paul Belmondo, les acteurs Claude Dauphin, Gaby Morlet, Greta Garbo, Laurent Terzieff, le boxeur Georges Carpentier, des artistes comme Henri Salvador, Yehudi Menhin, les écrivains Jean Anouilh, Aragon et Elsa Triolet, l'aviateur Jean Mermoz... Universellement connu, depuis 1930 il reçoit de nombreux prix et les plus hautes récompenses dans toutes les expositions nationales et internationales. Meilleur ouvrier de France en 1958, son mandat de conseiller technique de l'enseignement technique lui est renouvelé cinq fois par le Ministère de l'Education Nationale. Aidé par son épouse et sa fille Astrid, il maintient son activité jusqu'en 1995 et s'éteint le 29 mars 1996. Cependant ce virtuose de la botterie, épris d'absolu, nous interpelle encore, par la contemplation de son uvre conservée et visible, au Musée International de la Chaussure à Romans",,,talon,costume - accessoires du costume,musée de la chaussure,Romans,faux,"Le ? porte sur une date de naissance, pas sur l’auteur.",09860003359,https://pop.culture.gouv.fr/notice/joconde/09860003359
