famille,categorie,champ_source,extrait,auteur,precisions_auteur,ancienne_attribution,titre,denomination,domaine,musee,ville,reference,lien_pop,verdict,commentaire
atelier (qualificatif de doute),doute,Auteur,Corneille de Lyon (1500?-1575) (atelier),Corneille de Lyon (1500?-1575) (atelier),,"ECOLE FRANCAISE 1ERE MOITIE 16E SIECLE (BRIERE) ; PEINTRE DE RIEUX-CHATEAUNEUF, D'APRES (DIMIER II)","Jean d'Albon, seigneur de Saint-André (1472-1549), chambellan d'Anne de Bretagne en 1502, gouverneur de Henri de France (futur Henri II) en 1530",tableau,peinture,musée du Louvre,Paris,000PE000543,https://pop.culture.gouv.fr/notice/joconde/000PE000543,,
atelier (qualificatif de doute),doute,Auteur,PANNINI Giovanni Paolo (atelier),PANNINI Giovanni Paolo (atelier),"Plaisance, 1691 ; Rome, 1765",,Ruines,tableau,peinture,musée des Beaux-Arts,Valenciennes,06380000428,https://pop.culture.gouv.fr/notice/joconde/06380000428,,
atelier (qualificatif de doute),doute,Auteur,BERRUGUETE Alonso (atelier),BERRUGUETE Alonso (atelier),"né à Paredes de Nava, vers 1489 ; mort à Tolède en 1561 ; peintre et sculpteur, son oeuvre graphique se réduit à une dizaine de feuilles, dont les plus importantes sont conservées au musée des offices de Florence, et qui démontrent une maîtrise parfaite des techniques graphiques italiennes à la sanguine et à la plume souvent proches de Michel-Ange, auprès duquel il aurait reçu sa formation principale dès les années 1505-1506 (il serait le ' giovine spagnuolo ' cité par Michel-Ange en 1508 puis en 1512). Considéré depuis Longhi (1953) comme un peintre influent pour la formation du maniérisme italien, il est documenté à la fin de 1518 à Saragosse, où il apparaît comme le peintre de la cour de Charles Quint. A partir de cette date il a une intense activité surtout dans le domaine de la sculpture, menant d'abord une vie itinérante avant de se fixer à Valladolid où son influence fut considérable.","GIRALTE, Francisco ; BERRUGUETE, Alonso",Saint Thomas,,dessin,musée du Louvre,Paris,50350501398,https://pop.culture.gouv.fr/notice/joconde/50350501398,,
atelier (qualificatif de doute),doute,Auteur,anonyme;Giordano Luca (1632-1705) (atelier),anonyme;Giordano Luca (1632-1705) (atelier),"Giordano, Luca : Naples, 1634 ; Naples, 1705",,Saint François Xavier présidant la construction d'un édifice ; Construction d'un édifice sous la direction de saint François Xavier,,peinture,musée Granet,Aix-en-Provence,08940005176,https://pop.culture.gouv.fr/notice/joconde/08940005176,,
atelier (qualificatif de doute),doute,Auteur,BRUNEL Louis Raymond Henry (atelier),BRUNEL Louis Raymond Henry (atelier),"BRUNEL : Dieppe, 1818, 5 avril ; Dieppe (?), 1882, 26 avril ; nationalité : Française",,Reine,pion (élément);jeu d'échecs,jeux - jouets;ivoirerie,Château-musée,Dieppe,07120008972,https://pop.culture.gouv.fr/notice/joconde/07120008972,,
atelier (qualificatif de doute),doute,Auteur,JACQUEMIN Frères (atelier),JACQUEMIN Frères (atelier),,,,bague,costume - accessoires du costume;orfèvrerie;ethnologie,musées des pays de l'Ain,Bourg-en-Bresse,0964-004467,https://pop.culture.gouv.fr/notice/joconde/0964-004467,,
atelier (qualificatif de doute),doute,Auteur,FRANCKEN Frans II (atelier);FRANCKEN le Jeune,FRANCKEN Frans II (atelier);FRANCKEN le Jeune,"Anvers, 1581 ; Anvers, 1642",,La mort d'Adonis,tableau,peinture;beaux-arts,musée des Beaux-Arts,Nantes,07430006982,https://pop.culture.gouv.fr/notice/joconde/07430006982,,
atelier (qualificatif de doute),doute,Auteur,Dailland E (atelier),Dailland E (atelier),"atelier de décorateurs de boutiques, fondé à Paris en 1880 et actif jusqu'en 1972",,Projet de store d'église (titre factice),store,peinture;ethnologie,musée des civilisations de l'Europe et de la Méditerranée,Marseille,5002P000269,https://pop.culture.gouv.fr/notice/joconde/5002P000269,,
atelier (qualificatif de doute),doute,Auteur,CLOUET François (atelier),CLOUET François (atelier),"CLOUET : Tours, 1515 vers ; Paris, 1572 ; nationalité : Française",,"Jacqueline de Rohan, marquise de Rothelin (1520-1586)",,dessin,musée Condé,Chantilly,50520001431,https://pop.culture.gouv.fr/notice/joconde/50520001431,,
atelier (qualificatif de doute),doute,Auteur,MINELLE (atelier),MINELLE (atelier),,,,carte-échantillon;cure-ongles;cure-oreilles;lime,tabletterie;ethnologie,musée de la nacre et de la tabletterie,Méru,M1117002454,https://pop.culture.gouv.fr/notice/joconde/M1117002454,,
atelier (qualificatif de doute),doute,Auteur,"VOGELAER Karel Van;DISTELBLOOM (dit);CARLO DEI FIORI (dit, atelier)","VOGELAER Karel Van;DISTELBLOOM (dit);CARLO DEI FIORI (dit, atelier)","Maestricht, 1653 ; Rome, 1695",,La Vierge dans une guirlande de fleurs,tableau,peinture,musée des beaux-arts,Rennes,00000096489,https://pop.culture.gouv.fr/notice/joconde/00000096489,,
atelier (qualificatif de doute),doute,Auteur,"BEERT Osias I (atelier, peintre)","BEERT Osias I (atelier, peintre)","BEERT : Anvers, 1580 ; Anvers, 1624",,"Nature morte aux raisins, grenades et abricots",tableau,peinture,musée des beaux-arts,Caen,06570008168,https://pop.culture.gouv.fr/notice/joconde/06570008168,,
atelier (qualificatif de doute),doute,Auteur,POUSSIN Nicolas (atelier),POUSSIN Nicolas (atelier),né en 1594 ; mort en 1665,,Six études de têtes casquées et une étude de femme à mi-corps...,,dessin,musée du Louvre,Paris,50350037169,https://pop.culture.gouv.fr/notice/joconde/50350037169,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,ATELIER DE RAPHAEL (d'après);anonyme,ATELIER DE RAPHAEL (d'après);anonyme,,"Copie d'après, SANTI Raffaello",Le Massacre des Innocents,,dessin,musée du Louvre,Paris,50350101168,https://pop.culture.gouv.fr/notice/joconde/50350101168,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,ATELIER DE ROME (atelier),ATELIER DE ROME (atelier),,,,antoninianus,archéologie;numismatique;gallo-romain,musée des antiquités gallo-romaines,Aoste,09900000074,https://pop.culture.gouv.fr/notice/joconde/09900000074,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Atelier de la vallée de l'Allier,Atelier de la vallée de l'Allier,"Atelier de la vallée de l'Allier : céramiste, style",,Vénus,figurine;ex-voto,archéologie;sculpture;gallo-romain,musée Rolin,Autun,01610011084,https://pop.culture.gouv.fr/notice/joconde/01610011084,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,ATELIER DE RAPHAEL (d'après);anonyme,ATELIER DE RAPHAEL (d'après);anonyme,,école de SANTI Raffaello,Grotesques,,dessin,musée du Louvre,Paris,50350101586,https://pop.culture.gouv.fr/notice/joconde/50350101586,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Atelier de la vallée de l'Allier,Atelier de la vallée de l'Allier,"Atelier de la vallée de l'Allier : céramiste, style",,Déesse-mère,figurine;fragment;ex-voto,archéologie;sculpture;gallo-romain,musée Rolin,Autun,01610011053,https://pop.culture.gouv.fr/notice/joconde/01610011053,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Atelier de Pistillus,Atelier de Pistillus,"Atelier de Pistillus : céramiste ; Autun, 1er siècle ; Autun, 2e siècle",,Pigeon,figurine,archéologie;sculpture;gallo-romain;céramique,musée Rolin,Autun,01610008948,https://pop.culture.gouv.fr/notice/joconde/01610008948,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Atelier de Pistillus,Atelier de Pistillus,"Atelier de Pistillus : céramiste, style ; Autun, Ier siècle ; Autun, IIe siècle",,Coq,figurine;fragment;ex-voto,archéologie;gallo-romain;sculpture,musée Rolin,Autun,01610013602,https://pop.culture.gouv.fr/notice/joconde/01610013602,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Atelier de Pistillus,Atelier de Pistillus,"Atelier de Pistillus : céramiste, style",,Buste d'enfant,figurine;fragment;ex-voto,archéologie;sculpture;gallo-romain,musée Rolin,Autun,01610011020,https://pop.culture.gouv.fr/notice/joconde/01610011020,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,ATELIER DE RAPHAEL (d'après);anonyme,ATELIER DE RAPHAEL (d'après);anonyme,,"Copie d'après, SANTI Raffaello",Salomon et la reine de Saba,,dessin,musée du Louvre,Paris,50350500784,https://pop.culture.gouv.fr/notice/joconde/50350500784,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Atelier de Pistillus,Atelier de Pistillus,"Atelier de Pistillus : céramiste, style",,Tête d'enfant,figurine,archéologie;gallo-romain;sculpture,musée Rolin,Autun,01610013581,https://pop.culture.gouv.fr/notice/joconde/01610013581,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Méaulle Fortuné Louis (1844-1901);Hugo Victor (1802-1885);Imprimerie P. Mouillot (-);Ateliers de reproductions artistiqu,Méaulle Fortuné Louis (1844-1901);Hugo Victor (1802-1885);Imprimerie P. Mouillot (-);Ateliers de reproductions artistiques (-),,,"La Pieuvre; Dessins de Victor Hugo, Les Travailleurs de la Mer. Gravures de F. Méaulle imprimées par Mouillot. Paris Ateliers de Reproductions artistiques, 1882.",estampe,estampe;arts graphiques,maison de Victor Hugo,Paris,M1114240012324,https://pop.culture.gouv.fr/notice/joconde/M1114240012324,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,ATELIER DU CENTRE DE LA GAULE (céramiste),ATELIER DU CENTRE DE LA GAULE (céramiste),,,,gobelet,archéologie;céramique,musée Rolin,Autun,01610009390,https://pop.culture.gouv.fr/notice/joconde/01610009390,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,ATELIER DE LYON (atelier),ATELIER DE LYON (atelier),,,follis de Constantin Ier,pièce de monnaie;follis,archéologie;gallo-romain;numismatique;commerce - économie - finances;croyances - coutumes,"ARCHÉA, Archéologie en Pays de France",Louvres,M0436032718,https://pop.culture.gouv.fr/notice/joconde/M0436032718,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,Méaulle Fortuné Louis (1844-1901);Hugo Victor (1802-1885);Imprimerie P. Mouillot (-);Ateliers de reproductions artistiqu,Méaulle Fortuné Louis (1844-1901);Hugo Victor (1802-1885);Imprimerie P. Mouillot (-);Ateliers de reproductions artistiques (-),,,"Guernesey. Ruines de la tour; Dessins de Victor Hugo, Les Travailleurs de la Mer. Gravures de F. Méaulle imprimées par Mouillot. Paris Ateliers de Reproductions artistiques, 1882.",estampe,estampe;arts graphiques,maison de Victor Hugo,Paris,M1114240012312,https://pop.culture.gouv.fr/notice/joconde/M1114240012312,,
Atelier de X en nom d'auteur (écarté),ecarte,Auteur,atelier de céramique;anonyme,atelier de céramique;anonyme,,,,plat,arts décoratifs;céramique,musée des arts décoratifs et du design,Bordeaux,00660019837,https://pop.culture.gouv.fr/notice/joconde/00660019837,,
