rang,musee,ville,code_museofile,notices,sans_licence,soumises_a_autorisation,photographes_credites,artistes_principaux,exemple_notice_pop
44,musée Dobrée,Nantes,M0745,5,5,0,© Arkênum (société) | © Chantal Hémon | © Christian Letertre,"Albrecht Dürer, Peter Hawke",https://pop.culture.gouv.fr/notice/joconde/07450066079
45,musée des Beaux-Arts,Lille,M0629,4,4,0,"© C2RMF | © GERONDAL, © QUECQ D'HENRIPRET | © DUBUISSON, © QUECQ D'HENRIPRET, © LEWANDOWSKI","Boucher, Rubens, Rembrandt",https://pop.culture.gouv.fr/notice/joconde/000PE017012
46,musée Louis Philippe,Eu,M0714,4,4,0,"(crédit vide) | © Yohann Deslandes | © DUGUE François, © musée Louis Philippe d'Eu, 2002","Philippe de Champaigne, Van Dyck",https://pop.culture.gouv.fr/notice/joconde/07140001031
47,musée Jean de la Fontaine,Château-Thierry,M0784,4,4,0,musée Jean de La Fontaine de Château-Thierry | © musée Jean de La Fontaine de Château-Thierry,"Jean-Baptiste Oudry, Hyacinthe Rigaud, Philippe de Champaigne",https://pop.culture.gouv.fr/notice/joconde/07840001024
48,musée Goya,Castres,M0594,3,3,0,"© Castres ; musée Goya, photographe : Pascal Bru | © Castres, musée Goya","Ribera, Luca Giordano",https://pop.culture.gouv.fr/notice/joconde/00000074374
49,musée des Beaux-Arts,Pau,M0098,3,3,0,© SEGURA Patrick | © POUMEYROL Jean-Christophe | © SEGURA,"Ribera, Luca Giordano, Salvator Rosa",https://pop.culture.gouv.fr/notice/joconde/00980000808
50,musée Bonaparte,Auxonne,M0132,3,0,3,© Bruno FRANCOIS - utilisation soumise à autorisation,"Nicolas Poussin, Guido Reni",https://pop.culture.gouv.fr/notice/joconde/01320016773
51,musée d'Art et d'Histoire Romain Rolland,Clamecy,M0150,3,3,0,"© Pierre Plattier, Clamecy, Musée d'Art et d'Histoire Romain Rolland | © Emmanuel Darnault, Clamecy, Musée d'Art et d'Histoire Romain Rolland | © Emmanuel Berry, Clamecy, Musée d'Art et d'Histoire Romain Rolland","Claude Lorrain, Luca Giordano, Salvator Rosa",https://pop.culture.gouv.fr/notice/joconde/01500000075
52,musée eucharistique du Hiéron,Paray-le-Monial,M0176,3,3,0,© Chaintreuil Laurent,"Véronèse, Francesco Vanni, Luca Giordano",https://pop.culture.gouv.fr/notice/joconde/01760000021
53,musée Greuze - hôtel-Dieu,Tournus,M0181,3,3,0,© Christelle Rochette | Laurent Chaintreuil,"Greuze, Simon Vouet",https://pop.culture.gouv.fr/notice/joconde/01810000027
